name,fips,objectid
Allegany County,1,19
Anne Arundel County,3,15
Baltimore City,510,6
Baltimore County,5,23
Calvert County,9,17
Caroline County,11,13
Carroll County,13,7
Cecil County,15,2
Charles County,17,20
Dorchester County,19,11
Frederick County,21,10
Garrett County,23,5
Harford County,25,24
Howard County,27,3
Kent County,29,22
Montgomery County,31,18
Prince George's County,33,1
Queen Anne's County,35,21
Somerset County,39,12
St. Mary's County,37,16
Talbot County,41,4
Washington County,43,8
Wicomico County,45,14
Worcester County,47,9
