full_name,name,county_name
"Cumberland, Allegany County",Cumberland,Allegany County
"Luke, Allegany County",Luke,Allegany County
"Lonaconing, Allegany County",Lonaconing,Allegany County
"Frostburg, Allegany County",Frostburg,Allegany County
"Barton, Allegany County",Barton,Allegany County
"Midland, Allegany County",Midland,Allegany County
"Westernport, Allegany County",Westernport,Allegany County
"Annapolis, Anne Arundel County",Annapolis,Anne Arundel County
"Highland Beach, Anne Arundel County",Highland Beach,Anne Arundel County
"Baltimore City, Baltimore City",Baltimore City,Baltimore City
"Chesapeake Beach, Calvert County",Chesapeake Beach,Calvert County
"North Beach, Calvert County",North Beach,Calvert County
"Denton, Caroline County",Denton,Caroline County
"Greensboro, Caroline County",Greensboro,Caroline County
"Federalsburg, Caroline County",Federalsburg,Caroline County
"Goldsboro, Caroline County",Goldsboro,Caroline County
"Ridgely, Caroline County",Ridgely,Caroline County
"Marydel, Caroline County",Marydel,Caroline County
"Templeville, Caroline County",Templeville,Caroline County
"Hillsboro, Caroline County",Hillsboro,Caroline County
"Preston, Caroline County",Preston,Caroline County
"Henderson, Caroline County",Henderson,Caroline County
"Hampstead, Carroll County",Hampstead,Carroll County
"New Windsor, Carroll County",New Windsor,Carroll County
"Union Bridge, Carroll County",Union Bridge,Carroll County
"Manchester, Carroll County",Manchester,Carroll County
"Westminster, Carroll County",Westminster,Carroll County
"Taneytown, Carroll County",Taneytown,Carroll County
"Sykesville, Carroll County",Sykesville,Carroll County
"Cecilton, Cecil County",Cecilton,Cecil County
"Chesapeake City, Cecil County",Chesapeake City,Cecil County
"Elkton, Cecil County",Elkton,Cecil County
"Port Deposit, Cecil County",Port Deposit,Cecil County
"Rising Sun, Cecil County",Rising Sun,Cecil County
"Charlestown, Cecil County",Charlestown,Cecil County
"Perryville, Cecil County",Perryville,Cecil County
"North East, Cecil County",North East,Cecil County
"La Plata, Charles County",La Plata,Charles County
"Port Tobacco, Charles County",Port Tobacco,Charles County
"Indian Head, Charles County",Indian Head,Charles County
"Cambridge, Dorchester County",Cambridge,Dorchester County
"East New Market, Dorchester County",East New Market,Dorchester County
"Galestown, Dorchester County",Galestown,Dorchester County
"Brookview, Dorchester County",Brookview,Dorchester County
"Vienna, Dorchester County",Vienna,Dorchester County
"Church Creek, Dorchester County",Church Creek,Dorchester County
"Eldorado, Dorchester County",Eldorado,Dorchester County
"Secretary, Dorchester County",Secretary,Dorchester County
"Hurlock, Dorchester County",Hurlock,Dorchester County
"Thurmont, Frederick County",Thurmont,Frederick County
"Brunswick, Frederick County",Brunswick,Frederick County
"Middletown, Frederick County",Middletown,Frederick County
"Walkersville, Frederick County",Walkersville,Frederick County
"Mount Airy, Carroll County",Mount Airy,Carroll County
"Myersville, Frederick County",Myersville,Frederick County
"New Market, Frederick County",New Market,Frederick County
"Woodsboro, Frederick County",Woodsboro,Frederick County
"Emmitsburg, Frederick County",Emmitsburg,Frederick County
"Burkittsville, Frederick County",Burkittsville,Frederick County
"Rosemont, Frederick County",Rosemont,Frederick County
"Frederick, Frederick County",Frederick,Frederick County
"Grantsville, Garrett County",Grantsville,Garrett County
"Accident, Garrett County",Accident,Garrett County
"Oakland, Garrett County",Oakland,Garrett County
"Friendsville, Garrett County",Friendsville,Garrett County
"Mountain Lake Park, Garrett County",Mountain Lake Park,Garrett County
"Deer Park, Garrett County",Deer Park,Garrett County
"Kitzmiller, Garrett County",Kitzmiller,Garrett County
"Loch Lynn Heights, Garrett County",Loch Lynn Heights,Garrett County
"Bel Air, Harford County",Bel Air,Harford County
"Aberdeen, Harford County",Aberdeen,Harford County
"Havre De Grace, Harford County",Havre De Grace,Harford County
"Chestertown, Kent County",Chestertown,Kent County
"Rock Hall, Kent County",Rock Hall,Kent County
"Betterton, Kent County",Betterton,Kent County
"Millington, Kent County",Millington,Kent County
"Galena, Kent County",Galena,Kent County
"Takoma Park, Montgomery County",Takoma Park,Montgomery County
"Rockville, Montgomery County",Rockville,Montgomery County
"Washington Grove, Montgomery County",Washington Grove,Montgomery County
"Gaithersburg, Montgomery County",Gaithersburg,Montgomery County
"Barnesville, Montgomery County",Barnesville,Montgomery County
"Poolesville, Montgomery County",Poolesville,Montgomery County
"Chevy Chase Town, Montgomery County",Chevy Chase Town,Montgomery County
"Chevy Chase Village, Montgomery County",Chevy Chase Village,Montgomery County
"Chevy Chase Section 3, Montgomery County",Chevy Chase Section 3,Montgomery County
"Martins Additions, Montgomery County",Martins Additions,Montgomery County
"North Chevy Chase, Montgomery County",North Chevy Chase,Montgomery County
"Chevy Chase View, Montgomery County",Chevy Chase View,Montgomery County
"Somerset, Montgomery County",Somerset,Montgomery County
"Brookeville, Montgomery County",Brookeville,Montgomery County
"Kensington, Montgomery County",Kensington,Montgomery County
"Glen Echo, Montgomery County",Glen Echo,Montgomery County
"Chevy Chase Section 5, Montgomery County",Chevy Chase Section 5,Montgomery County
"Garrett Park, Montgomery County",Garrett Park,Montgomery County
"Laytonsville, Montgomery County",Laytonsville,Montgomery County
"Cheverly, Prince George's County",Cheverly,Prince George's County
"Bowie, Prince George's County",Bowie,Prince George's County
"Laurel, Prince George's County",Laurel,Prince George's County
"Morningside, Prince George's County",Morningside,Prince George's County
"Capitol Heights, Prince George's County",Capitol Heights,Prince George's County
"Riverdale Park, Prince George's County",Riverdale Park,Prince George's County
"Greenbelt, Prince George's County",Greenbelt,Prince George's County
"Bladensburg, Prince George's County",Bladensburg,Prince George's County
"District Heights, Prince George's County",District Heights,Prince George's County
"Mount Rainier, Prince George's County",Mount Rainier,Prince George's County
"North Brentwood, Prince George's County",North Brentwood,Prince George's County
"Edmonston, Prince George's County",Edmonston,Prince George's County
"College Park, Prince George's County",College Park,Prince George's County
"Glenarden, Prince George's County",Glenarden,Prince George's County
"Landover Hills, Prince George's County",Landover Hills,Prince George's County
"Fairmount Heights, Prince George's County",Fairmount Heights,Prince George's County
"Berwyn Heights, Prince George's County",Berwyn Heights,Prince George's County
"Seat Pleasant, Prince George's County",Seat Pleasant,Prince George's County
"Forest Heights, Prince George's County",Forest Heights,Prince George's County
"Brentwood, Prince George's County",Brentwood,Prince George's County
"University Park, Prince George's County",University Park,Prince George's County
"Hyattsville, Prince George's County",Hyattsville,Prince George's County
"New Carrollton, Prince George's County",New Carrollton,Prince George's County
"Colmar Manor, Prince George's County",Colmar Manor,Prince George's County
"Cottage City, Prince George's County",Cottage City,Prince George's County
"Upper Marlboro, Prince George's County",Upper Marlboro,Prince George's County
